epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,251.02,0.60759,0.45932,0.97991,0.99801,1,0.995,0.92168,0.47783,0.35019,0.90326,0.0018614,0.0018614,0.0018614
44,259.909,0.57862,0.44546,0.95161,0.9985,1,0.995,0.92495,0.4411,0.35571,0.89843,0.0018581,0.0018581,0.0018581
45,268.563,0.57238,0.45592,0.9741,0.99878,1,0.995,0.94486,0.41621,0.34861,0.8971,0.0018548,0.0018548,0.0018548
46,277.161,0.58071,0.46061,0.95281,0.98709,0.9697,0.99426,0.92985,0.43645,0.36103,0.89908,0.0018515,0.0018515,0.0018515
47,285.724,0.54382,0.42825,0.93336,0.98388,0.9697,0.99316,0.91101,0.46711,0.41895,0.91949,0.0018482,0.0018482,0.0018482
48,293.985,0.55742,0.41716,0.9712,1,0.91906,0.9892,0.9032,0.47325,0.49723,0.90937,0.0018449,0.0018449,0.0018449
49,299.845,0.53758,0.42864,0.95878,0.99764,0.98485,0.99485,0.91926,0.4336,0.37019,0.91711,0.0018416,0.0018416,0.0018416
50,305.498,0.53265,0.42881,0.95872,0.99825,1,0.995,0.91796,0.42605,0.33608,0.92035,0.0018383,0.0018383,0.0018383
51,311.192,0.57179,0.46879,0.96604,0.96965,1,0.99273,0.90172,0.47702,0.39261,0.94579,0.001835,0.001835,0.001835
52,316.864,0.56412,0.44645,0.96105,0.97575,0.93939,0.96111,0.8854,0.43235,0.53827,0.90574,0.0018317,0.0018317,0.0018317
53,322.516,0.56173,0.42794,0.94171,0.98467,1,0.995,0.92395,0.43976,0.3748,0.90672,0.0018284,0.0018284,0.0018284
54,328.197,0.54881,0.43936,0.95971,0.99801,0.98485,0.99404,0.92648,0.42888,0.33282,0.88853,0.0018251,0.0018251,0.0018251
55,333.88,0.54104,0.40515,0.94856,0.99237,0.9697,0.99426,0.92033,0.45481,0.35646,0.89067,0.0018218,0.0018218,0.0018218
56,339.639,0.55192,0.44099,0.94933,0.9952,1,0.995,0.90377,0.44177,0.35408,0.88757,0.0018185,0.0018185,0.0018185
57,345.318,0.53505,0.40376,0.94812,0.99863,1,0.995,0.9286,0.41433,0.35858,0.89697,0.0018152,0.0018152,0.0018152
58,350.978,0.54223,0.41336,0.93562,0.98465,0.97199,0.99426,0.90799,0.40299,0.33736,0.88991,0.0018119,0.0018119,0.0018119
59,356.715,0.54338,0.39986,0.93707,0.94078,0.98485,0.98939,0.91445,0.42818,0.35705,0.89217,0.0018086,0.0018086,0.0018086
60,362.39,0.57557,0.44488,0.95414,0.98364,1,0.99485,0.92868,0.43589,0.34364,0.88377,0.0018053,0.0018053,0.0018053
61,368.046,0.51707,0.3947,0.93535,0.99853,1,0.995,0.92373,0.42942,0.31106,0.88745,0.001802,0.001802,0.001802
62,373.746,0.55443,0.40951,0.94321,0.98056,0.98485,0.99426,0.92782,0.39852,0.32555,0.88032,0.0017987,0.0017987,0.0017987
63,379.429,0.53158,0.41738,0.93721,1,0.99462,0.995,0.92257,0.40726,0.31123,0.88322,0.0017954,0.0017954,0.0017954
64,385.094,0.52229,0.3983,0.941,0.99945,1,0.995,0.92992,0.3948,0.28801,0.87664,0.0017921,0.0017921,0.0017921
65,390.78,0.55036,0.39256,0.95367,0.99423,1,0.995,0.93514,0.39516,0.29731,0.8762,0.0017888,0.0017888,0.0017888
